"questionText","trlLevel","technologyType","category","TrlQuestions (Item)","ID","Created Date","Updated Date","Owner","toolTip"
"User feedback incorporated to improve system usability, reliability, and performance",5,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","0511a7b1-b2b8-43fc-94f1-9eba7759574e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Freedom to Operate (FTO) Report Prepared",4,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","06272fe7-19f8-4337-ba82-aef500252cbf",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Blueprint or design of the machine/facility completed",2,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","06abb27d-b3e3-4e85-b4d2-7eec7f29bcc0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"New plant variety fully commercialized/Variety commercially available to target users",9,"New Plant Variety (Conventional)","Market and Commercialization Status","/trlquestions/new-plant-variety-(conventional)","06dc4660-df00-4d6d-8740-f42683cb2569",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Target Traits Confirmed via Sequencing, PCR, or Marker Analysis",4,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","075573b3-0c4f-4b72-bcbe-ab756a482072",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial assessment of potential user requirements and usability",2,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","07cef747-4977-4d4c-a34a-da49f1776e4e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Freedom to Operate (FTO) Report Prepared",4,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","0824e5f8-bf00-4d21-bf57-12a257b0005e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Field performance documentation prepared",5,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","084c64cf-59ee-4d77-b8cc-a2b816ec48c2",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Agronomic and Phenotypic Data Collected",5,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","08bee512-f259-4d33-82ea-566a05b06e96",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"System/application ready for full-scale commercial operation (replicable without error)",8,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","08d5f921-6ecb-49c8-9362-e14376f51fe0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Optimized formulation for highest sensory acceptability",3,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","09d6b757-13c2-41ae-89a7-d281a188332e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Potential users or target beneficiaries identified",1,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","0a66d026-8de1-4912-bfac-5fced1c06f95",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Processing of Requirements for Bureau of Animal Industry (BAI) or Philippine Carabao Center (PCC) or National Dairy Authority (NDA) Approval/Certification",7,"New Animal Breed (Aquatic and Terrestrial)","Regulatory Compliance Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","0ba7a58b-329d-477d-bfb0-7f299c22344f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Successful validation of industry-scale production",7,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Industry Adoption Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","0bbda513-f87d-45b3-90a2-4a349cec972e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Secure Letter of Intent for Licensing",7,"ICT (Apps and System involving IoT)","Industry Adoption Status","/trlquestions/ict-(apps-and-system-involving-iot)","0c125ff3-d3a1-4e5e-a71b-937b0bbce672",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"System/application deployed for initial industry use",6,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","0f3b709a-b093-4dc8-a60f-b09a3ec8b1e2",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Business Plan crafted",7,"New Animal Breed (Aquatic and Terrestrial)","Market and Commercialization Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","0f3bc534-b160-4945-bd04-72583938b4fb",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Business Plan crafted",7,"New Plant Variety (Gene-Edited and GM)","Market and Commercialization Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","0f6dd2fb-63af-4751-8e58-b980befa2601",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Freedom to Operate (FTO) Report Prepared",4,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","0fb4e87c-825a-4753-8208-62986ae99925",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Germplasm Collected",2,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","0fe11c4b-b505-42aa-96b7-38cc40f1ea2a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Market Research is conducted",4,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","10a9c4cb-b97e-4a7b-ad1e-c8129bca6186",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"BAI/PCC/NDA Approval/Certification Secured",8,"New Animal Breed (Aquatic and Terrestrial)","Regulatory Compliance Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","11564a4e-4f3a-40dc-ae87-15e795107765",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Tested for sensitivity, specificity, or measurement accuracy under lab conditions",3,"Agri-Aqua Device and Diagnostic Kits","Technology Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","1372969a-308d-43da-9dc8-1d1f07a9c119",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial experiments conducted in laboratory (benchscale)",2,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","13af3fd5-2af1-4b52-94d8-556bc88f0e2a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Business Plan crafted",7,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","1435c518-4f34-4385-8948-230324827ec4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Transformation or Gene Editing in Laboratory or Growth Chamber Conducted",3,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","150f7568-3930-4b81-ab4e-e77eb75967f0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Production or fabrication manual established",6,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","1518e876-bb34-4146-b870-5218c7077c3d",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Concept Development or Breeding objectives identified",1,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","1528c783-66b9-4ed7-8ef7-b9e2becd6121",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Concept development completed or Prior Art Search Conducted",1,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","159d3abc-8ef5-4b1c-bef1-b451525d5310",2026-02-03T08:26:38Z,2026-02-05T12:44:29Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Undergoing Negotiation",7,"New Animal Breed (Aquatic and Terrestrial)","Industry Adoption Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","1641e661-d687-4e73-a241-a3ec81d8d3b2",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Formulation optimized based on initial response of the experimental subject",3,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","17625d26-8bb7-4075-83aa-64b6762f6921",2026-02-03T08:26:38Z,2026-02-08T05:37:52Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proof of Potential Economic Viability",3,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","17e43d27-3770-463e-a509-6f2d428f3e38",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Agreement signed",9,"Natural Resource & Derived Materials","Industry Adoption Status","/trlquestions/natural-resource-%26-derived-materials","19758063-f421-415d-a51f-b786428c6168",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"System stable in industry-scale operations (Stable Release)",7,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","19d24644-b670-4553-b420-5d9340ab8d6a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Market Research conducted",5,"New Animal Breed (Aquatic and Terrestrial)","Market and Commercialization Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","1a19141e-1ab4-42c9-abcb-fd19a08df68b",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial crosses, selective breeding, or genetic modification conducted",3,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","1bf40e6c-67b4-4a8e-b0ac-ab40240e1ce6",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"New plant variety fully commercialized/Variety commercially available to target users",9,"New Plant Variety (Gene-Edited and GM)","Market and Commercialization Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","1cad5669-1d5d-41b7-b162-95510f4b4ac2",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Multi-location trials conducted across diverse environmental conditions",6,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","1e196e3a-e23c-44cf-8e22-0572f430131f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"User Manual for device/kit established",5,"Agri-Aqua Device and Diagnostic Kits","Technology Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","1fec962c-d048-4aab-baba-8a280b5bd77e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Stable and pure lines selected",5,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","2045366f-6cda-495a-9f56-a149b8f36858",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"FDA Approval/Certification Obtained",8,"Food, Food Ingredients and Beverages","Regulatory Compliance Status","/trlquestions/food%2C-food-ingredients-and-beverages","20679bcf-ac0d-4adc-9f9f-ede9b5eefc38",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Identified Potential industry Partner for Industry Testing",4,"Agri-Aqua Machinery and Facility","Industry Adoption Status","/trlquestions/agri-aqua-machinery-and-facility","2068f8f3-8074-4e27-8ec9-9221372f3bbf",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Market Research conducted",4,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","217d299c-34e8-40d6-90b9-1d81ac827ce7",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Material commercially produced/Commercially available to target users",9,"Natural Resource & Derived Materials","Market and Commercialization Status","/trlquestions/natural-resource-%26-derived-materials","231939f3-51a5-4f74-81a3-11b00e6cca0a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Potential end-users and target markets identified",1,"New Animal Breed (Aquatic and Terrestrial)","Market and Commercialization Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","23757869-7e6c-4f6d-b0b5-0eba7de9847d",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Preliminary assessment of user requirements and operational feasibility",2,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","2419d5a2-79b9-4d79-b149-2c2694ed1bd8",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Target traits confirmed in progeny",4,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","253ae167-7c69-4ca5-866e-89abbf7f1ac0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Shelf stability established",4,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","2722e7cd-4372-4895-9e78-c0174b8b1a8b",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial laboratory scale processing method proposed",2,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","27448611-6810-4acd-8e10-461119b424b0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Commercialization Plan prepared",6,"Agri-Aqua Machinery and Facility","Market and Commercialization Status","/trlquestions/agri-aqua-machinery-and-facility","27b76247-f032-4278-925c-1b8232e79d46",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Performance tested under simulated or relevant conditions",5,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","28678ea6-8ce2-4a1a-9d99-7ae9ccd787f5",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Agreement signed",9,"Agri-Aqua Machinery and Facility","Industry Adoption Status","/trlquestions/agri-aqua-machinery-and-facility","28ef9512-026a-492c-bd3e-981766b329df",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Device/kit ready for commercial-scale production (replicable without error)",8,"Agri-Aqua Device and Diagnostic Kits","Technology Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","295c7d01-674b-4511-bd56-ef2c6f1fa292",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Market Research conducted",5,"New Plant Variety (Conventional)","Market and Commercialization Status","/trlquestions/new-plant-variety-(conventional)","2a3a4262-48ba-4f71-9ed0-47c86cac2c65",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Agreement signed",9,"New Plant Variety (Gene-Edited and GM)","Industry Adoption Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","2d52f05d-d620-4507-92c2-ec9da9705fa7",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"BAI/FDA Approval or Certification Obtained",8,"Animal Feed, Feed Ingredients and Animal Nutrition","Regulatory Compliance Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","2df190de-3439-4899-970e-662b4a0fb0d0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Potential material properties identified",1,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","31e886cd-67fc-48e0-99f3-f57d91f18779",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proof of Potential Economic Viability",3,"New Animal Breed (Aquatic and Terrestrial)","Market and Commercialization Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","31efaae5-cbd2-45f4-92f3-88c63efe543c",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Pilot scale-based Manual of Production created",5,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","337aef15-2e74-4513-8389-a9eab832d9d8",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Progeny raised under controlled conditions (hatchery, nursery, farm, or experimental facility)",4,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","3394bb35-87ea-4abc-a7e2-fd0b64b65d7a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Progeny successfully grown under controlled conditions (greenhouse/screenhouse)",4,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","354e34f5-11f9-4fa0-87ab-fdefee1f4a76",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Agreement signed",9,"Agri-Aqua Device and Diagnostic Kits","Industry Adoption Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","35bafd8c-dd11-466f-a3a6-d59f8a2af53e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Final material specification established",8,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","37202b9f-1b89-4538-82c9-722b92db1f92",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Secure Letter of Intent for Licensing",7,"New Plant Variety (Conventional)","Industry Adoption Status","/trlquestions/new-plant-variety-(conventional)","37394fd1-0713-4314-aa93-06560b62c7d9",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Parent animals with desirable traits Selected",2,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","38323fa7-9b46-49c1-8e6d-5365452dd49f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Concept Development or Breeding objectives identified",1,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","38893cfb-7304-4778-b34c-2c6acf2ecac4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Identified Potential industry Partner for Industry Testing",4,"Agri-Aqua Device and Diagnostic Kits","Industry Adoption Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","3931b90c-fd9d-41cd-85fc-867fc918b698",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Fairness Opinion Review requested",8,"New Plant Variety (Conventional)","Market and Commercialization Status","/trlquestions/new-plant-variety-(conventional)","3981bd41-d55f-4d1a-af4d-d52e80ca5f5a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Preliminary assessment of market demand for target traits",2,"New Animal Breed (Aquatic and Terrestrial)","Market and Commercialization Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","39c41f84-e4b9-4b31-a264-60aa92d962bf",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Negotiated",8,"Agri-Aqua Device and Diagnostic Kits","Industry Adoption Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","3a232cb3-67ef-4881-a13e-cb7f64abbdcb",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Potential users or target beneficiaries identified",1,"Agri-Aqua Machinery and Facility","Market and Commercialization Status","/trlquestions/agri-aqua-machinery-and-facility","3a2b568f-1888-41f6-84f1-24e0826f00d4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Undergoing Negotiation",7,"Agri-Aqua Machinery and Facility","Industry Adoption Status","/trlquestions/agri-aqua-machinery-and-facility","3c41e069-0241-48a1-a3f4-4e646fad0527",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
